Input quantities:
    xmin =     0.000000
    xmax =     1.000000
     den =     1.000000
     vel =    10.000000
     dif =     0.200000
    phil =     1.000000
    phir =     2.000000
       n =    25.000000
   dxrat =     1.000000

Derived quantities:
   dxmin =     0.040000
   dxmax =     0.040000
      pe =    50.000000
 pedxmin =     2.000000
 pedxmax =     2.000000

Tabulated results:

  x,       phian,      phiuds,      phicds,      erruds,      errcds
0.00,1.000000e+000,1.000000e+000,1.000000e+000,0.000000e+000,0.000000e+000
0.04,1.000000e+000,1.000000e+000,1.000000e+000,2.360556e-012,0.000000e+000
0.08,1.000000e+000,1.000000e+000,1.000000e+000,9.441781e-012,0.000000e+000
0.12,1.000000e+000,1.000000e+000,1.000000e+000,3.068612e-011,1.110223e-016
0.16,1.000000e+000,1.000000e+000,1.000000e+000,9.441870e-011,1.110223e-016
0.20,1.000000e+000,1.000000e+000,1.000000e+000,2.856166e-010,2.220446e-016
0.24,1.000000e+000,1.000000e+000,1.000000e+000,8.592111e-010,3.330669e-016
0.28,1.000000e+000,1.000000e+000,1.000000e+000,2.579994e-009,8.881784e-016
0.32,1.000000e+000,1.000000e+000,1.000000e+000,7.742342e-009,2.331468e-015
0.36,1.000000e+000,1.000000e+000,1.000000e+000,2.322938e-008,1.321165e-014
0.40,1.000000e+000,1.000000e+000,1.000000e+000,6.969045e-008,9.403589e-014
0.44,1.000000e+000,1.000000e+000,1.000000e+000,2.090733e-007,6.920020e-013
0.48,1.000000e+000,1.000001e+000,1.000000e+000,6.272192e-007,5.109579e-012
0.52,1.000000e+000,1.000002e+000,1.000000e+000,1.881637e-006,3.775147e-011
0.56,1.000000e+000,1.000006e+000,1.000000e+000,5.644749e-006,2.789471e-010
0.60,1.000000e+000,1.000017e+000,1.000000e+000,1.693303e-005,2.061154e-009
0.64,1.000000e+000,1.000051e+000,1.000000e+000,5.079003e-005,1.522998e-008
0.68,1.000000e+000,1.000152e+000,1.000000e+000,1.523033e-004,1.125352e-007
0.72,1.000001e+000,1.000457e+000,1.000000e+000,4.564158e-004,8.315287e-007
0.76,1.000006e+000,1.001372e+000,1.000000e+000,1.365598e-003,6.144212e-006
0.80,1.000045e+000,1.004115e+000,1.000000e+000,4.069826e-003,4.539993e-005
0.84,1.000335e+000,1.012346e+000,1.000000e+000,1.201022e-002,3.354626e-004
0.88,1.002479e+000,1.037037e+000,1.000000e+000,3.455828e-002,2.478752e-003
0.92,1.018316e+000,1.111111e+000,1.000000e+000,9.279547e-002,1.831564e-002
0.96,1.135335e+000,1.333333e+000,1.000000e+000,1.979981e-001,1.353353e-001
1.00,2.000000e+000,2.000000e+000,2.000000e+000,0.000000e+000,0.000000e+000
